timestamp,name,phone,website,status,message,error
"2026-03-24T20:58:21.387Z","Punta Cana","927187893300","","failed","Hi Punta Cana, I was looking at your business online and took a few minutes to create a quick sample of how your business could look with a simple website.It’s nothing fancy, just a basic idea — but it shows how you could attract more customers online.Want me to share it with you?","Waiting for selector `[data-testid=""conversation-compose-box-input""], div[contenteditable=""true""][role=""textbox""]` failed"
"2026-03-24T21:04:57.468Z","Zhen Pin Café","922127962668","","failed","Hello Zhen Pin Café, hope you're doing well. I was looking at local businesses and thought I'd message you because I help with websites and online visibility. If it's useful, I'd be happy to suggest a couple of ideas tailored to your business.","Waiting for selector `[data-testid=""conversation-compose-box-input""], div[contenteditable=""true""][role=""textbox""]` failed"
"2026-03-24T21:08:43.002Z","Punta Cana","7187893300","","failed","Hi Punta Cana,I was looking at your business online and took a few minutes to create a quick sample of how your business could look with a simple website.It’s nothing fancy, just a basic idea — but it shows how you could attract more customers online.Want me to share it with you?","Waiting for selector `[data-testid=""conversation-compose-box-input""], div[contenteditable=""true""][role=""textbox""]` failed"
"2026-03-24T21:19:06.673Z","Zhen Pin Café","2127962668","","failed","Hello Zhen Pin Café, hope you're doing well. I was looking at local businesses and thought I'd message you because I help with websites and online visibility. If it's useful, I'd be happy to suggest a couple of ideas tailored to your business.","Waiting for selector `[data-testid=""conversation-compose-box-input""], div[contenteditable=""true""][role=""textbox""]` failed"
"2026-03-24T21:20:35.180Z","Punta Cana","7187893300","","failed","Hi Punta Cana, I was looking at your business online and took a few minutes to create a quick sample of how your business could look with a simple website.It’s nothing fancy, just a basic idea — but it shows how you could attract more customers online.Want me to share it with you?","Waiting for selector `[data-testid=""conversation-compose-box-input""], div[contenteditable=""true""][role=""textbox""]` failed"
"2026-03-24T21:25:03.714Z","Zhen Pin Café","2127962668","","failed","Hi Zhen Pin Café, I was looking at your business online and took a few minutes to create a quick sample of how your business could look with a simple website.It’s nothing fancy, just a basic idea — but it shows how you could attract more customers online.Want me to share it with you?","Waiting for selector `[data-testid=""conversation-compose-box-input""], div[contenteditable=""true""][role=""textbox""]` failed"
"2026-03-25T17:58:48.309Z","Punta Cana","17187893300","","failed","Hi Punta Cana, I was looking at your business online and took a few minutes to create a quick sample of how your business could look with a simple website.It’s nothing fancy, just a basic idea — but it shows how you could attract more customers online.Want me to share it with you?","Timed out waiting for WhatsApp chat to open."
"2026-03-25T18:08:53.700Z","Zhen Pin Café","12127962668","","failed","Hello Zhen Pin Café, hope you're doing well. I was looking at local businesses and thought I'd message you because I help with websites and online visibility. If it's useful, I'd be happy to suggest a couple of ideas tailored to your business.","Timed out waiting for WhatsApp chat to open."
"2026-03-25T18:19:28.583Z","Pikes Cinema Bar and Grill","14106535545","","failed","Hello Pikes Cinema Bar and Grill, hope you're doing well. I was looking at local businesses and thought I'd message you because I help with websites and online visibility. If it's useful, I'd be happy to suggest a couple of ideas tailored to your business.","Timed out waiting for WhatsApp chat to open."
"2026-03-25T18:24:53.970Z","Edmondson Faculty Center Restaurant","13234421591","","failed","Hi Edmondson Faculty Center Restaurant,I was looking at your business online and took a few minutes to create a quick sample of how your business could look with a simple website.It’s nothing fancy, just a basic idea — but it shows how you could attract more customers online.Want me to share it with you?","Timed out waiting for WhatsApp chat to open."
